epoch_index,timestamp_start,timestamp_end,predicted_stage,confidence,prob_Wake,prob_REM,prob_Light,prob_Deep
133,3990.0,4019.6,Wake,0.58,0.58,0.14,0.14,0.14
134,4020.0,4049.6,Wake,0.58,0.58,0.14,0.14,0.14
135,4050.0,4079.6,Wake,0.58,0.58,0.14,0.14,0.14
136,4080.0,4109.6,Wake,0.58,0.58,0.14,0.14,0.14
137,4110.0,4139.6,Wake,0.58,0.58,0.14,0.14,0.14
138,4140.0,4169.6,Wake,0.58,0.58,0.14,0.14,0.14
139,4170.0,4199.6,Wake,0.58,0.58,0.14,0.14,0.14
140,4200.0,4229.6,Wake,0.58,0.58,0.14,0.14,0.14
141,4230.0,4259.6,Wake,0.58,0.58,0.14,0.14,0.14
142,4260.0,4289.6,Wake,0.58,0.58,0.14,0.14,0.14
143,4290.0,4319.6,Wake,0.58,0.58,0.14,0.14,0.14
144,4320.0,4349.6,Wake,0.58,0.58,0.14,0.14,0.14
145,4350.0,4379.6,Wake,0.58,0.58,0.14,0.14,0.14
146,4380.0,4409.6,Wake,0.58,0.58,0.14,0.14,0.14
147,4410.0,4439.6,Wake,0.58,0.58,0.14,0.14,0.14
148,4440.0,4469.6,Wake,0.58,0.58,0.14,0.14,0.14
149,4470.0,4499.6,Wake,0.58,0.58,0.14,0.14,0.14
150,4500.0,4529.6,Wake,0.58,0.58,0.14,0.14,0.14
151,4530.0,4559.6,Wake,0.58,0.58,0.14,0.14,0.14
152,4560.0,4589.6,Wake,0.58,0.58,0.14,0.14,0.14
153,4590.0,4619.6,Wake,0.58,0.58,0.14,0.14,0.14
154,4620.0,4649.6,Wake,0.58,0.58,0.14,0.14,0.14
155,4650.0,4679.6,Wake,0.58,0.58,0.14,0.14,0.14
156,4680.0,4709.6,Wake,0.58,0.58,0.14,0.14,0.14
157,4710.0,4739.6,Wake,0.58,0.58,0.14,0.14,0.14
158,4740.0,4769.6,Wake,0.58,0.58,0.14,0.14,0.14
159,4770.0,4799.6,Wake,0.58,0.58,0.14,0.14,0.14
160,4800.0,4829.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
161,4830.0,4859.6,Wake,0.58,0.58,0.14,0.14,0.14
162,4860.0,4889.6,Wake,0.58,0.58,0.14,0.14,0.14
163,4890.0,4919.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
164,4920.0,4949.6,Light,0.65,0.1167,0.1167,0.65,0.1167
165,4950.0,4979.6,Light,0.65,0.1167,0.1167,0.65,0.1167
166,4980.0,5009.6,Wake,0.58,0.58,0.14,0.14,0.14
167,5010.0,5039.6,Wake,0.58,0.58,0.14,0.14,0.14
168,5040.0,5069.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
169,5070.0,5099.6,Light,0.65,0.1167,0.1167,0.65,0.1167
170,5100.0,5129.6,Wake,0.58,0.58,0.14,0.14,0.14
171,5130.0,5159.6,Wake,0.58,0.58,0.14,0.14,0.14
172,5160.0,5189.6,Wake,0.58,0.58,0.14,0.14,0.14
173,5190.0,5219.6,Wake,0.58,0.58,0.14,0.14,0.14
174,5220.0,5249.6,Wake,0.58,0.58,0.14,0.14,0.14
175,5250.0,5279.6,Wake,0.58,0.58,0.14,0.14,0.14
176,5280.0,5309.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
177,5310.0,5339.6,Light,0.65,0.1167,0.1167,0.65,0.1167
178,5340.0,5369.6,Light,0.65,0.1167,0.1167,0.65,0.1167
179,5370.0,5399.6,Wake,0.58,0.58,0.14,0.14,0.14
180,5400.0,5429.6,Wake,0.58,0.58,0.14,0.14,0.14
181,5430.0,5459.6,Wake,0.58,0.58,0.14,0.14,0.14
182,5460.0,5489.6,Wake,0.58,0.58,0.14,0.14,0.14
183,5490.0,5519.6,Wake,0.58,0.58,0.14,0.14,0.14
184,5520.0,5549.6,Wake,0.58,0.58,0.14,0.14,0.14
185,5550.0,5579.6,Wake,0.58,0.58,0.14,0.14,0.14
186,5580.0,5609.6,Wake,0.58,0.58,0.14,0.14,0.14
187,5610.0,5639.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
188,5640.0,5669.6,Wake,0.58,0.58,0.14,0.14,0.14
189,5670.0,5699.6,Wake,0.58,0.58,0.14,0.14,0.14
190,5700.0,5729.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
191,5730.0,5759.6,Light,0.65,0.1167,0.1167,0.65,0.1167
192,5760.0,5789.6,Wake,0.58,0.58,0.14,0.14,0.14
193,5790.0,5819.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
194,5820.0,5849.6,Wake,0.58,0.58,0.14,0.14,0.14
195,5850.0,5879.6,Wake,0.58,0.58,0.14,0.14,0.14
196,5880.0,5909.6,Wake,0.58,0.58,0.14,0.14,0.14
197,5910.0,5939.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
198,5940.0,5969.6,Light,0.65,0.1167,0.1167,0.65,0.1167
199,5970.0,5999.6,Wake,0.58,0.58,0.14,0.14,0.14
200,6000.0,6029.6,Wake,0.58,0.58,0.14,0.14,0.14
201,6030.0,6059.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
202,6060.0,6089.6,Light,0.65,0.1167,0.1167,0.65,0.1167
203,6090.0,6119.6,Wake,0.58,0.58,0.14,0.14,0.14
204,6120.0,6149.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
205,6150.0,6179.6,Light,0.65,0.1167,0.1167,0.65,0.1167
206,6180.0,6209.6,Wake,0.58,0.58,0.14,0.14,0.14
207,6210.0,6239.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
208,6240.0,6269.6,Light,0.65,0.1167,0.1167,0.65,0.1167
209,6270.0,6299.6,Wake,0.58,0.58,0.14,0.14,0.14
210,6300.0,6329.6,Wake,0.58,0.58,0.14,0.14,0.14
211,6330.0,6359.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
212,6360.0,6389.6,Wake,0.58,0.58,0.14,0.14,0.14
213,6390.0,6419.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
214,6420.0,6449.6,Light,0.65,0.1167,0.1167,0.65,0.1167
215,6450.0,6479.6,Wake,0.58,0.58,0.14,0.14,0.14
216,6480.0,6509.6,Wake,0.58,0.58,0.14,0.14,0.14
217,6510.0,6539.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
218,6540.0,6569.6,Light,0.65,0.1167,0.1167,0.65,0.1167
219,6570.0,6599.6,Wake,0.58,0.58,0.14,0.14,0.14
220,6600.0,6629.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
221,6630.0,6659.6,Light,0.65,0.1167,0.1167,0.65,0.1167
222,6660.0,6689.6,Light,0.65,0.1167,0.1167,0.65,0.1167
223,6690.0,6719.6,Wake,0.58,0.58,0.14,0.14,0.14
224,6720.0,6749.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
225,6750.0,6779.6,Light,0.65,0.1167,0.1167,0.65,0.1167
226,6780.0,6809.6,Light,0.65,0.1167,0.1167,0.65,0.1167
227,6810.0,6839.6,Light,0.65,0.1167,0.1167,0.65,0.1167
228,6840.0,6869.6,Light,0.65,0.1167,0.1167,0.65,0.1167
229,6870.0,6899.6,Light,0.65,0.1167,0.1167,0.65,0.1167
230,6900.0,6929.6,Wake,0.58,0.58,0.14,0.14,0.14
231,6930.0,6959.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
232,6960.0,6989.6,Light,0.65,0.1167,0.1167,0.65,0.1167
233,6990.0,7019.6,Light,0.65,0.1167,0.1167,0.65,0.1167
234,7020.0,7049.6,Light,0.65,0.1167,0.1167,0.65,0.1167
235,7050.0,7079.6,Light,0.65,0.1167,0.1167,0.65,0.1167
236,7080.0,7109.6,Light,0.65,0.1167,0.1167,0.65,0.1167
237,7110.0,7139.6,Light,0.65,0.1167,0.1167,0.65,0.1167
238,7140.0,7169.6,Wake,0.58,0.58,0.14,0.14,0.14
239,7170.0,7199.6,Wake,0.58,0.58,0.14,0.14,0.14
240,7200.0,7229.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
241,7230.0,7259.6,Wake,0.58,0.58,0.14,0.14,0.14
242,7260.0,7289.6,Wake,0.58,0.58,0.14,0.14,0.14
243,7290.0,7319.6,Wake,0.58,0.58,0.14,0.14,0.14
244,7320.0,7349.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
245,7350.0,7379.6,Light,0.65,0.1167,0.1167,0.65,0.1167
246,7380.0,7409.6,Wake,0.58,0.58,0.14,0.14,0.14
247,7410.0,7439.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
248,7440.0,7469.6,Light,0.65,0.1167,0.1167,0.65,0.1167
249,7470.0,7499.6,Wake,0.58,0.58,0.14,0.14,0.14
250,7500.0,7529.6,Wake,0.58,0.58,0.14,0.14,0.14
251,7530.0,7559.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
252,7560.0,7589.6,Light,0.65,0.1167,0.1167,0.65,0.1167
253,7590.0,7619.6,Light,0.65,0.1167,0.1167,0.65,0.1167
254,7620.0,7649.6,Light,0.65,0.1167,0.1167,0.65,0.1167
255,7650.0,7679.6,Wake,0.58,0.58,0.14,0.14,0.14
256,7680.0,7709.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
257,7710.0,7739.6,Light,0.65,0.1167,0.1167,0.65,0.1167
258,7740.0,7769.6,Light,0.65,0.1167,0.1167,0.65,0.1167
259,7770.0,7799.6,Light,0.65,0.1167,0.1167,0.65,0.1167
260,7800.0,7829.6,Wake,0.58,0.58,0.14,0.14,0.14
261,7830.0,7859.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
262,7860.0,7889.6,Light,0.65,0.1167,0.1167,0.65,0.1167
263,7890.0,7919.6,Wake,0.58,0.58,0.14,0.14,0.14
264,7920.0,7949.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
265,7950.0,7979.6,Light,0.65,0.1167,0.1167,0.65,0.1167
266,7980.0,8009.6,Wake,0.58,0.58,0.14,0.14,0.14
267,8010.0,8039.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
268,8040.0,8069.6,Light,0.65,0.1167,0.1167,0.65,0.1167
269,8070.0,8099.6,Light,0.65,0.1167,0.1167,0.65,0.1167
270,8100.0,8129.6,Light,0.65,0.1167,0.1167,0.65,0.1167
271,8130.0,8159.6,Light,0.65,0.1167,0.1167,0.65,0.1167
272,8160.0,8189.6,Wake,0.58,0.58,0.14,0.14,0.14
273,8190.0,8219.6,Wake,0.65,0.1167,0.1167,0.65,0.1167
